id_celda,dwell_medio_ms,forma_gamma,mezcla,largo,n_tray,canal,k,estimador,modo,fpr_h0,magnitud_minima_detectable,potencia_max_barrida
0,10,1,dominante_8nm,50,50,dwell,4,plugin,ar1,0.04,0.1,1
0,10,1,dominante_8nm,50,50,dwell,4,plugin,limping,0.04,0.35,1
0,10,1,dominante_8nm,50,50,dwell,4,mm,ar1,0.04,0.1,1
0,10,1,dominante_8nm,50,50,dwell,4,mm,limping,0.04,0.35,1
0,10,1,dominante_8nm,50,50,dwell,4,pt,ar1,0.04,0.1,1
0,10,1,dominante_8nm,50,50,dwell,4,pt,limping,0.04,0.35,1
0,10,1,dominante_8nm,50,50,dwell,4,nsb,ar1,0.036,0.1,1
0,10,1,dominante_8nm,50,50,dwell,4,nsb,limping,0.036,0.35,1
0,10,1,dominante_8nm,50,50,dwell,8,plugin,ar1,0.044,0.2,1
0,10,1,dominante_8nm,50,50,dwell,8,plugin,limping,0.044,0.5,1
0,10,1,dominante_8nm,50,50,dwell,8,mm,ar1,0.044,0.2,1
0,10,1,dominante_8nm,50,50,dwell,8,mm,limping,0.044,0.5,1
0,10,1,dominante_8nm,50,50,dwell,8,pt,ar1,0.044,0.2,1
0,10,1,dominante_8nm,50,50,dwell,8,pt,limping,0.044,0.5,1
0,10,1,dominante_8nm,50,50,dwell,8,nsb,ar1,0.046,0.2,1
0,10,1,dominante_8nm,50,50,dwell,8,nsb,limping,0.046,0.5,1
0,10,1,dominante_8nm,50,50,dwell_paso,8,plugin,ar1,0.038,,0.052
0,10,1,dominante_8nm,50,50,dwell_paso,8,plugin,limping,0.038,,0.066
0,10,1,dominante_8nm,50,50,dwell_paso,8,mm,ar1,0.038,,0.052
0,10,1,dominante_8nm,50,50,dwell_paso,8,mm,limping,0.038,,0.066
0,10,1,dominante_8nm,50,50,dwell_paso,8,pt,ar1,0.038,,0.052
0,10,1,dominante_8nm,50,50,dwell_paso,8,pt,limping,0.038,,0.066
0,10,1,dominante_8nm,50,50,dwell_paso,8,nsb,ar1,0.038,,0.052
0,10,1,dominante_8nm,50,50,dwell_paso,8,nsb,limping,0.038,,0.064
1,10,1,dominante_8nm,50,100,evento,4,plugin,ar1,0.04,0.2,1
1,10,1,dominante_8nm,50,100,evento,4,plugin,limping,0.04,0.5,1
1,10,1,dominante_8nm,50,100,evento,4,mm,ar1,0.038,0.2,1
1,10,1,dominante_8nm,50,100,evento,4,mm,limping,0.038,0.5,1
1,10,1,dominante_8nm,50,100,evento,4,pt,ar1,0.038,0.2,1
1,10,1,dominante_8nm,50,100,evento,4,pt,limping,0.038,0.5,1
1,10,1,dominante_8nm,50,100,evento,4,nsb,ar1,0.042,0.2,1
1,10,1,dominante_8nm,50,100,evento,4,nsb,limping,0.042,0.5,1
1,10,1,dominante_8nm,50,100,evento,8,plugin,ar1,0.046,0.2,1
1,10,1,dominante_8nm,50,100,evento,8,plugin,limping,0.046,0.5,1
1,10,1,dominante_8nm,50,100,evento,8,mm,ar1,0.05,0.2,1
1,10,1,dominante_8nm,50,100,evento,8,mm,limping,0.05,0.5,1
1,10,1,dominante_8nm,50,100,evento,8,pt,ar1,0.046,0.2,1
1,10,1,dominante_8nm,50,100,evento,8,pt,limping,0.046,0.5,1
1,10,1,dominante_8nm,50,100,dwell,4,plugin,ar1,0.05,0.1,1
1,10,1,dominante_8nm,50,100,dwell,4,plugin,limping,0.05,0.35,1
1,10,1,dominante_8nm,50,100,dwell,4,mm,ar1,0.05,0.1,1
1,10,1,dominante_8nm,50,100,dwell,4,mm,limping,0.05,0.35,1
1,10,1,dominante_8nm,50,100,dwell,4,pt,ar1,0.05,0.1,1
1,10,1,dominante_8nm,50,100,dwell,4,pt,limping,0.05,0.35,1
1,10,1,dominante_8nm,50,100,dwell,4,nsb,ar1,0.05,0.1,1
1,10,1,dominante_8nm,50,100,dwell,4,nsb,limping,0.05,0.35,1
1,10,1,dominante_8nm,50,100,dwell,8,plugin,ar1,0.04,0.1,1
1,10,1,dominante_8nm,50,100,dwell,8,plugin,limping,0.04,0.35,1
1,10,1,dominante_8nm,50,100,dwell,8,mm,ar1,0.04,0.1,1
1,10,1,dominante_8nm,50,100,dwell,8,mm,limping,0.04,0.35,1
1,10,1,dominante_8nm,50,100,dwell,8,pt,ar1,0.04,0.1,1
1,10,1,dominante_8nm,50,100,dwell,8,pt,limping,0.04,0.35,1
1,10,1,dominante_8nm,50,100,dwell,8,nsb,ar1,0.04,0.1,1
1,10,1,dominante_8nm,50,100,dwell,8,nsb,limping,0.04,0.35,1
1,10,1,dominante_8nm,50,100,paso,4,plugin,ar1,0.036,,0.072
1,10,1,dominante_8nm,50,100,paso,4,plugin,limping,0.036,,0.062
1,10,1,dominante_8nm,50,100,paso,4,mm,ar1,0.036,,0.072
1,10,1,dominante_8nm,50,100,paso,4,mm,limping,0.036,,0.062
1,10,1,dominante_8nm,50,100,paso,4,pt,ar1,0.036,,0.072
1,10,1,dominante_8nm,50,100,paso,4,pt,limping,0.036,,0.062
1,10,1,dominante_8nm,50,100,paso,4,nsb,ar1,0.036,,0.07
1,10,1,dominante_8nm,50,100,paso,4,nsb,limping,0.036,,0.064
1,10,1,dominante_8nm,50,100,paso,8,plugin,ar1,0.036,,0.072
1,10,1,dominante_8nm,50,100,paso,8,plugin,limping,0.036,,0.062
1,10,1,dominante_8nm,50,100,paso,8,mm,ar1,0.036,,0.072
1,10,1,dominante_8nm,50,100,paso,8,mm,limping,0.036,,0.062
