modo,n_tray,largo,estimador,k,mediana_min_detectable,peor_min_detectable,celdas_sin_deteccion,celdas
ar1,50,50,Miller-Madow,4,0.2,0.2,0,16
ar1,50,50,Miller-Madow,8,0.35,0.35,0,8
ar1,50,50,NSB,4,0.2,0.2,0,16
ar1,50,50,NSB,8,0.35,0.35,0,8
ar1,50,50,plug-in,4,0.2,0.2,0,16
ar1,50,50,plug-in,8,0.35,0.35,0,12
ar1,50,50,Panzeri-Treves,4,0.2,0.2,0,16
ar1,50,50,Panzeri-Treves,8,0.35,0.35,0,12
ar1,50,100,Miller-Madow,4,0.2,0.2,0,12
ar1,50,100,Miller-Madow,8,0.2,0.2,0,12
ar1,50,100,NSB,4,0.2,0.2,0,12
ar1,50,100,NSB,8,0.2,0.2,0,12
ar1,50,100,plug-in,4,0.2,0.2,0,12
ar1,50,100,plug-in,8,0.2,0.2,0,12
ar1,50,100,Panzeri-Treves,4,0.2,0.2,0,12
ar1,50,100,Panzeri-Treves,8,0.2,0.2,0,12
ar1,50,200,Miller-Madow,4,0.1,0.1,0,4
ar1,50,200,Miller-Madow,8,0.2,0.2,0,12
ar1,50,200,NSB,4,0.1,0.1,0,4
ar1,50,200,NSB,8,0.15,0.2,0,8
ar1,50,200,plug-in,4,0.1,0.1,0,4
ar1,50,200,plug-in,8,0.2,0.2,0,12
ar1,50,200,Panzeri-Treves,4,0.1,0.1,0,4
ar1,50,200,Panzeri-Treves,8,0.2,0.2,0,12
ar1,100,50,Miller-Madow,4,0.2,0.2,0,20
ar1,100,50,Miller-Madow,8,0.2,0.2,0,20
ar1,100,50,NSB,4,0.2,0.2,0,20
ar1,100,50,NSB,8,0.2,0.2,0,12
ar1,100,50,plug-in,4,0.2,0.2,0,20
ar1,100,50,plug-in,8,0.2,0.2,0,20
ar1,100,50,Panzeri-Treves,4,0.2,0.2,0,20
ar1,100,50,Panzeri-Treves,8,0.2,0.2,0,20
ar1,100,100,Miller-Madow,4,0.1,0.1,0,12
ar1,100,100,Miller-Madow,8,0.2,0.2,0,20
ar1,100,100,NSB,4,0.1,0.1,0,12
ar1,100,100,NSB,8,0.2,0.2,0,20
ar1,100,100,plug-in,4,0.1,0.1,0,12
ar1,100,100,plug-in,8,0.2,0.2,0,20
ar1,100,100,Panzeri-Treves,4,0.1,0.1,0,12
ar1,100,100,Panzeri-Treves,8,0.2,0.2,0,20
ar1,100,200,Miller-Madow,4,0.1,0.1,0,12
ar1,100,200,Miller-Madow,8,0.1,0.1,0,12
ar1,100,200,NSB,4,0.1,0.1,0,20
ar1,100,200,NSB,8,0.1,0.1,0,12
ar1,100,200,plug-in,4,0.1,0.1,0,12
ar1,100,200,plug-in,8,0.1,0.1,0,12
ar1,100,200,Panzeri-Treves,4,0.1,0.1,0,12
ar1,100,200,Panzeri-Treves,8,0.1,0.1,0,12
ar1,300,50,Miller-Madow,4,0.1,0.1,0,12
ar1,300,50,Miller-Madow,8,0.1,0.1,0,8
ar1,300,50,NSB,4,0.1,0.1,0,12
ar1,300,50,NSB,8,0.1,0.1,0,8
ar1,300,50,plug-in,4,0.1,0.1,0,12
ar1,300,50,plug-in,8,0.1,0.1,0,8
ar1,300,50,Panzeri-Treves,4,0.1,0.1,0,12
ar1,300,50,Panzeri-Treves,8,0.1,0.1,0,8
ar1,300,100,Miller-Madow,4,0.05,0.05,0,16
ar1,300,100,Miller-Madow,8,0.1,0.1,0,16
ar1,300,100,NSB,4,0.05,0.05,0,16
ar1,300,100,NSB,8,0.1,0.1,0,16
ar1,300,100,plug-in,4,0.05,0.05,0,16
ar1,300,100,plug-in,8,0.1,0.1,0,16
ar1,300,100,Panzeri-Treves,4,0.05,0.05,0,16
ar1,300,100,Panzeri-Treves,8,0.1,0.1,0,16
ar1,300,200,Miller-Madow,4,0.05,0.05,0,20
ar1,300,200,Miller-Madow,8,0.05,0.05,0,12
ar1,300,200,NSB,4,0.05,0.05,0,20
ar1,300,200,NSB,8,0.05,0.05,0,8
ar1,300,200,plug-in,4,0.05,0.05,0,20
ar1,300,200,plug-in,8,0.05,0.05,0,12
ar1,300,200,Panzeri-Treves,4,0.05,0.05,0,20
ar1,300,200,Panzeri-Treves,8,0.05,0.05,0,12
limping,50,50,Miller-Madow,4,0.425,0.5,0,16
limping,50,50,Miller-Madow,8,0.425,0.5,0,8
limping,50,50,NSB,4,0.425,0.5,0,16
limping,50,50,NSB,8,0.425,0.5,0,8
limping,50,50,plug-in,4,0.425,0.5,0,16
limping,50,50,plug-in,8,0.35,0.5,0,12
limping,50,50,Panzeri-Treves,4,0.425,0.5,0,16
limping,50,50,Panzeri-Treves,8,0.35,0.5,0,12
limping,50,100,Miller-Madow,4,0.5,0.5,0,12
limping,50,100,Miller-Madow,8,0.35,0.5,0,12
limping,50,100,NSB,4,0.5,0.5,0,12
limping,50,100,NSB,8,0.35,0.5,0,12
limping,50,100,plug-in,4,0.5,0.5,0,12
limping,50,100,plug-in,8,0.35,0.5,0,12
limping,50,100,Panzeri-Treves,4,0.5,0.5,0,12
limping,50,100,Panzeri-Treves,8,0.35,0.5,0,12
limping,50,200,Miller-Madow,4,0.35,0.35,0,4
limping,50,200,Miller-Madow,8,0.35,0.35,0,12
limping,50,200,NSB,4,0.35,0.35,0,4
limping,50,200,NSB,8,0.35,0.35,0,8
limping,50,200,plug-in,4,0.35,0.35,0,4
limping,50,200,plug-in,8,0.35,0.35,0,12
limping,50,200,Panzeri-Treves,4,0.35,0.35,0,4
limping,50,200,Panzeri-Treves,8,0.35,0.35,0,12
limping,100,50,Miller-Madow,4,0.35,0.5,0,20
limping,100,50,Miller-Madow,8,0.35,0.5,0,20
limping,100,50,NSB,4,0.35,0.5,0,20
limping,100,50,NSB,8,0.35,0.5,0,12
limping,100,50,plug-in,4,0.35,0.5,0,20
limping,100,50,plug-in,8,0.35,0.5,0,20
limping,100,50,Panzeri-Treves,4,0.35,0.5,0,20
limping,100,50,Panzeri-Treves,8,0.35,0.5,0,20
limping,100,100,Miller-Madow,4,0.35,0.35,0,12
limping,100,100,Miller-Madow,8,0.35,0.35,0,20
limping,100,100,NSB,4,0.35,0.35,0,12
limping,100,100,NSB,8,0.35,0.35,0,20
limping,100,100,plug-in,4,0.35,0.35,0,12
limping,100,100,plug-in,8,0.35,0.35,0,20
limping,100,100,Panzeri-Treves,4,0.35,0.35,0,12
limping,100,100,Panzeri-Treves,8,0.35,0.35,0,20
limping,100,200,Miller-Madow,4,0.35,0.35,0,12
limping,100,200,Miller-Madow,8,0.35,0.35,0,12
limping,100,200,NSB,4,0.2,0.35,0,20
limping,100,200,NSB,8,0.35,0.35,0,12
limping,100,200,plug-in,4,0.35,0.35,0,12
limping,100,200,plug-in,8,0.35,0.35,0,12
limping,100,200,Panzeri-Treves,4,0.35,0.35,0,12
limping,100,200,Panzeri-Treves,8,0.35,0.35,0,12
limping,300,50,Miller-Madow,4,0.2,0.35,0,12
limping,300,50,Miller-Madow,8,0.35,0.35,0,8
limping,300,50,NSB,4,0.2,0.35,0,12
limping,300,50,NSB,8,0.35,0.35,0,8
limping,300,50,plug-in,4,0.2,0.35,0,12
limping,300,50,plug-in,8,0.35,0.35,0,8
limping,300,50,Panzeri-Treves,4,0.2,0.35,0,12
limping,300,50,Panzeri-Treves,8,0.35,0.35,0,8
limping,300,100,Miller-Madow,4,0.2,0.35,0,16
limping,300,100,Miller-Madow,8,0.275,0.35,0,16
limping,300,100,NSB,4,0.2,0.35,0,16
limping,300,100,NSB,8,0.275,0.35,0,16
limping,300,100,plug-in,4,0.2,0.35,0,16
limping,300,100,plug-in,8,0.275,0.35,0,16
limping,300,100,Panzeri-Treves,4,0.2,0.35,0,16
limping,300,100,Panzeri-Treves,8,0.275,0.35,0,16
limping,300,200,Miller-Madow,4,0.2,0.2,0,20
limping,300,200,Miller-Madow,8,0.2,0.35,0,12
limping,300,200,NSB,4,0.2,0.2,0,20
limping,300,200,NSB,8,0.275,0.35,0,8
limping,300,200,plug-in,4,0.2,0.2,0,20
limping,300,200,plug-in,8,0.2,0.35,0,12
limping,300,200,Panzeri-Treves,4,0.2,0.2,0,20
limping,300,200,Panzeri-Treves,8,0.2,0.35,0,12
