modo,magnitud,estimador,k,potencia_media,potencia_min,celdas_con_potencia_80
ar1,0.05,Miller-Madow,4,0.457,0.078,0.2222
ar1,0.05,Miller-Madow,8,0.3163,0.068,0.1111
ar1,0.05,NSB,4,0.454,0.078,0.2222
ar1,0.05,NSB,8,0.3134,0.064,0.1111
ar1,0.05,plug-in,4,0.4576,0.082,0.2222
ar1,0.05,plug-in,8,0.3179,0.066,0.1111
ar1,0.05,Panzeri-Treves,4,0.4576,0.082,0.2222
ar1,0.05,Panzeri-Treves,8,0.3179,0.066,0.1111
ar1,0.1,Miller-Madow,4,0.8441,0.262,0.6667
ar1,0.1,Miller-Madow,8,0.7122,0.134,0.463
ar1,0.1,NSB,4,0.8385,0.256,0.6667
ar1,0.1,NSB,8,0.7092,0.128,0.5
ar1,0.1,plug-in,4,0.846,0.262,0.6667
ar1,0.1,plug-in,8,0.7217,0.132,0.4815
ar1,0.1,Panzeri-Treves,4,0.8455,0.262,0.6667
ar1,0.1,Panzeri-Treves,8,0.7217,0.132,0.4815
ar1,0.2,Miller-Madow,4,0.9979,0.968,1
ar1,0.2,Miller-Madow,8,0.9749,0.75,0.8889
ar1,0.2,NSB,4,0.9976,0.954,1
ar1,0.2,NSB,8,0.9757,0.764,0.8889
ar1,0.2,plug-in,4,0.9983,0.976,1
ar1,0.2,plug-in,8,0.9783,0.754,0.963
ar1,0.2,Panzeri-Treves,4,0.9983,0.976,1
ar1,0.2,Panzeri-Treves,8,0.9783,0.754,0.963
ar1,0.35,Miller-Madow,4,1,1,1
ar1,0.35,Miller-Madow,8,1,1,1
ar1,0.35,NSB,4,1,1,1
ar1,0.35,NSB,8,1,1,1
ar1,0.35,plug-in,4,1,1,1
ar1,0.35,plug-in,8,1,1,1
ar1,0.35,Panzeri-Treves,4,1,1,1
ar1,0.35,Panzeri-Treves,8,1,1,1
ar1,0.5,Miller-Madow,4,1,1,1
ar1,0.5,Miller-Madow,8,1,1,1
ar1,0.5,NSB,4,1,1,1
ar1,0.5,NSB,8,1,1,1
ar1,0.5,plug-in,4,1,1,1
ar1,0.5,plug-in,8,1,1,1
ar1,0.5,Panzeri-Treves,4,1,1,1
ar1,0.5,Panzeri-Treves,8,1,1,1
limping,0.05,Miller-Madow,4,0.05285,0.03,0
limping,0.05,Miller-Madow,8,0.0513,0.028,0
limping,0.05,NSB,4,0.05293,0.032,0
limping,0.05,NSB,8,0.05078,0.03,0
limping,0.05,plug-in,4,0.05285,0.034,0
limping,0.05,plug-in,8,0.05185,0.026,0
limping,0.05,Panzeri-Treves,4,0.05296,0.034,0
limping,0.05,Panzeri-Treves,8,0.052,0.026,0
limping,0.1,Miller-Madow,4,0.07833,0.042,0
limping,0.1,Miller-Madow,8,0.06607,0.028,0
limping,0.1,NSB,4,0.07737,0.04,0
limping,0.1,NSB,8,0.06548,0.028,0
limping,0.1,plug-in,4,0.07804,0.042,0
limping,0.1,plug-in,8,0.06604,0.03,0
limping,0.1,Panzeri-Treves,4,0.07804,0.042,0
limping,0.1,Panzeri-Treves,8,0.06604,0.03,0
limping,0.2,Miller-Madow,4,0.477,0.052,0.2778
limping,0.2,Miller-Madow,8,0.363,0.05,0.1667
limping,0.2,NSB,4,0.4738,0.05,0.2778
limping,0.2,NSB,8,0.3581,0.054,0.1667
limping,0.2,plug-in,4,0.4778,0.056,0.2778
limping,0.2,plug-in,8,0.3663,0.048,0.1667
limping,0.2,Panzeri-Treves,4,0.4776,0.056,0.2778
limping,0.2,Panzeri-Treves,8,0.3661,0.048,0.1667
limping,0.35,Miller-Madow,4,0.9356,0.338,0.8333
limping,0.35,Miller-Madow,8,0.8774,0.192,0.8333
limping,0.35,NSB,4,0.934,0.336,0.8333
limping,0.35,NSB,8,0.8773,0.196,0.8333
limping,0.35,plug-in,4,0.9376,0.382,0.8333
limping,0.35,plug-in,8,0.8838,0.188,0.8333
limping,0.35,Panzeri-Treves,4,0.9372,0.376,0.8333
limping,0.35,Panzeri-Treves,8,0.8837,0.188,0.8333
limping,0.5,Miller-Madow,4,0.9999,0.996,1
limping,0.5,Miller-Madow,8,0.9962,0.922,1
limping,0.5,NSB,4,0.9999,0.996,1
limping,0.5,NSB,8,0.9959,0.906,1
limping,0.5,plug-in,4,0.9999,0.996,1
limping,0.5,plug-in,8,0.9968,0.918,1
limping,0.5,Panzeri-Treves,4,0.9999,0.996,1
limping,0.5,Panzeri-Treves,8,0.9968,0.918,1
