dataset,constructo,cond,id,exact_global,exact_c4,exact_c8,exact_c16,resoluble,conf_00,conf_01,conf_02,conf_10,conf_11,conf_12,conf_20,conf_21,conf_22
wolff,K28C,10uM,3,0.871913,0.502119,0.890466,0.867869,False,18602,17603,842,44133,681448,39690,2869,13409,106918
wolff,K28C,100uM,4,0.83058,0.405141,0.846695,0.838994,False,3688,5102,313,9992,121715,12046,6204,23576,155182
wolff,K28C,1mM,5,0.858316,0.486528,0.859994,0.871177,False,6392,6360,386,15453,204012,17760,9316,35624,303910
wolff,T324C,10uM,6,0.805545,0.494144,0.838693,0.845791,False,97679,94224,5770,78126,946197,103858,14472,78098,507721
wolff,T324C,1mM,8,0.809673,0.440779,0.825415,0.836443,False,46031,54746,3654,50355,592299,74923,30562,135796,850768
wirth,K28C,50uM,20,0.78539,0.361276,0.806602,0.804332,False,16377,25567,3387,45346,522465,79925,9238,47427,232932
wirth,K28C,500uM,21,0.77166,0.306934,0.751627,0.784547,False,4170,8110,1306,17433,203119,49687,29759,166299,713923
wirth,K28C,5mM,22,0.777303,0.339199,0.773388,0.805295,False,12838,21665,3345,27354,335436,70933,18907,108242,525886
wirth,T324C,50uM,23,0.743344,0.333947,0.755016,0.789368,False,21952,38229,5554,27715,319732,76030,14406,86134,376786
wirth,T324C,5mM,24,0.767562,0.358761,0.766441,0.797742,False,15144,23567,3501,23852,263954,56583,17821,100410,466324
