id_sint,k,modo,constructo,cond,forma_gamma,mezcla,min_detectable,potencia_max,mag_max
0,4,ar1,E215C,10uM,1,equilibrada,0.2,1,0.5
0,4,limping,E215C,10uM,1,equilibrada,0.5,1,0.5
0,8,ar1,E215C,10uM,1,equilibrada,0.2,1,0.5
0,8,limping,E215C,10uM,1,equilibrada,0.5,0.992,0.5
1,4,ar1,E215C,10uM,1,dominante_8nm,0.2,1,0.5
1,4,limping,E215C,10uM,1,dominante_8nm,0.5,1,0.5
1,8,ar1,E215C,10uM,1,dominante_8nm,0.2,1,0.5
1,8,limping,E215C,10uM,1,dominante_8nm,0.5,0.998,0.5
2,4,ar1,E215C,10uM,1,sesgada_4nm,0.2,1,0.5
2,4,limping,E215C,10uM,1,sesgada_4nm,0.5,0.996,0.5
2,8,ar1,E215C,10uM,1,sesgada_4nm,0.2,1,0.5
2,8,limping,E215C,10uM,1,sesgada_4nm,0.5,0.994,0.5
3,4,ar1,E215C,10uM,2,equilibrada,0.2,1,0.5
3,4,limping,E215C,10uM,2,equilibrada,0.35,1,0.5
3,8,ar1,E215C,10uM,2,equilibrada,0.2,1,0.5
3,8,limping,E215C,10uM,2,equilibrada,0.35,1,0.5
4,4,ar1,E215C,10uM,2,dominante_8nm,0.2,1,0.5
4,4,limping,E215C,10uM,2,dominante_8nm,0.35,1,0.5
4,8,ar1,E215C,10uM,2,dominante_8nm,0.2,1,0.5
4,8,limping,E215C,10uM,2,dominante_8nm,0.35,1,0.5
5,4,ar1,E215C,10uM,2,sesgada_4nm,0.2,1,0.5
5,4,limping,E215C,10uM,2,sesgada_4nm,0.35,1,0.5
5,8,ar1,E215C,10uM,2,sesgada_4nm,0.2,1,0.5
5,8,limping,E215C,10uM,2,sesgada_4nm,0.35,1,0.5
6,4,ar1,E215C,100uM,1,equilibrada,0.35,1,0.5
6,4,limping,E215C,100uM,1,equilibrada,0.5,0.804,0.5
6,8,ar1,E215C,100uM,1,equilibrada,0.35,1,0.5
6,8,limping,E215C,100uM,1,equilibrada,,0.48,0.5
7,4,ar1,E215C,100uM,1,dominante_8nm,0.35,1,0.5
7,4,limping,E215C,100uM,1,dominante_8nm,,0.792,0.5
7,8,ar1,E215C,100uM,1,dominante_8nm,0.35,1,0.5
7,8,limping,E215C,100uM,1,dominante_8nm,,0.504,0.5
8,4,ar1,E215C,100uM,1,sesgada_4nm,0.35,1,0.5
8,4,limping,E215C,100uM,1,sesgada_4nm,,0.748,0.5
8,8,ar1,E215C,100uM,1,sesgada_4nm,0.35,1,0.5
8,8,limping,E215C,100uM,1,sesgada_4nm,,0.5,0.5
9,4,ar1,E215C,100uM,2,equilibrada,0.35,1,0.5
