constructo,cond,id_celda_real,variante,nulo,canal,k,estimador,n_trazas,n_pares,im_obs,umbral_p95,nulo_media,nulo_sd,p_perm,rechaza,p_holm,confirma
E215C,10uM,0,centros_4_8_16,orden,evento,4,plugin,194,1287,0.375426,0.103087,0.0873685,0.00954074,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,orden,evento,4,mm,194,1287,0.320498,0.0463012,0.0299023,0.0100406,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,orden,evento,4,pt,194,1287,0.308167,0.0358286,0.02011,0.00954074,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,orden,evento,4,nsb,194,1287,0.297945,0.0289536,0.0123079,0.00990252,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,orden,dwell,4,plugin,194,1287,0.023361,0.0106837,0.00609305,0.00260697,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,orden,dwell,4,mm,194,1287,0.0183167,0.00563931,0.00104866,0.00260697,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,orden,dwell,4,pt,194,1287,0.0183167,0.00563931,0.00104866,0.00260697,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,orden,dwell,4,nsb,194,1287,0.0151466,0.00308747,0.000579782,0.00133998,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,orden,paso,4,plugin,194,1287,0.0964703,0.017774,0.0106646,0.00373848,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,orden,paso,4,mm,194,1287,0.0942284,0.0155321,0.00842263,0.00373848,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,orden,paso,4,pt,194,1287,0.0942284,0.0155321,0.00842263,0.00373848,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,orden,paso,4,nsb,194,1287,0.0931894,0.0149613,0.00787872,0.0037198,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,orden,dwell_paso,4,plugin,194,1287,0.163801,0.0122742,0.00676108,0.00306853,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,orden,dwell_paso,4,mm,194,1287,0.160439,0.00891131,0.00339815,0.00306853,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,orden,dwell_paso,4,pt,194,1287,0.160439,0.00891131,0.00339815,0.00306853,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,orden,dwell_paso,4,nsb,194,1287,0.157959,0.00746898,0.00195061,0.0030658,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,orden,evento,8,plugin,194,1287,0.634621,0.342041,0.314119,0.0163439,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,orden,evento,8,mm,194,1287,0.487773,0.173906,0.14389,0.0184854,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,orden,evento,8,pt,194,1287,0.398095,0.0790168,0.0458852,0.0208271,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,orden,evento,8,nsb,194,1287,0.387588,0.071503,0.0409488,0.0190158,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,orden,dwell,8,plugin,194,1287,0.0652281,0.0397921,0.0297067,0.00579112,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,orden,dwell,8,mm,194,1287,0.0377642,0.0123282,0.00224282,0.00579112,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,orden,dwell,8,pt,194,1287,0.0377642,0.0123282,0.00224282,0.00579112,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,orden,dwell,8,nsb,194,1287,0.0313119,0.00695647,0.00238213,0.002418,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,orden,paso,8,plugin,194,1287,0.0964703,0.017774,0.0106646,0.00373848,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,orden,paso,8,mm,194,1287,0.0942284,0.0155321,0.00842263,0.00373848,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,orden,paso,8,pt,194,1287,0.0942284,0.0155321,0.00842263,0.00373848,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,orden,paso,8,nsb,194,1287,0.0931894,0.0149613,0.00787872,0.0037198,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,orden,dwell_paso,8,plugin,194,1287,0.169272,0.0178951,0.0114416,0.0038431,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,orden,dwell_paso,8,mm,194,1287,0.161426,0.0100482,0.00359472,0.0038431,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,orden,dwell_paso,8,pt,194,1287,0.161426,0.0100482,0.00359472,0.0038431,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,orden,dwell_paso,8,nsb,194,1287,0.157202,0.00775991,0.00124613,0.00387268,0.000999001,True,0.002997,True
