constructo,cond,nulo,n_pares,im_obs,umbral_p95,nulo_media,nulo_sd,p_perm,rechaza,p_holm,confirma
E215C,10uM,orden,2556,0.0191273,0.00400341,0.00138967,0.00151529,0.000999001,True,0.002997,True
E215C,10uM,paridad,2556,0.0191273,0.00433014,0.00138872,0.00161956,0.000999001,True,0.002997,True
E215C,100uM,orden,818,0.0370586,0.0127654,0.00360637,0.00474807,0.000999001,True,0.002997,True
E215C,100uM,paridad,818,0.0370586,0.0149217,0.00510875,0.00508729,0.000999001,True,0.002997,True
E215C,1mM,orden,1212,0.00966476,0.00808034,0.00204642,0.00319819,0.030969,True,0.030969,True
E215C,1mM,paridad,1212,0.00966476,0.00971932,0.00367756,0.00354231,0.0519481,False,0.0519481,False
K28C,10uM,orden,2035,0.00592326,0.0032357,0.000205716,0.00162858,0.004995,True,0.014985,True
K28C,10uM,paridad,2035,0.00592326,0.00326185,0.000340038,0.00160511,0.00599401,True,0.017982,True
K28C,100uM,orden,673,0.00191785,0.00975857,0.000694179,0.00490764,0.343656,False,0.501499,False
K28C,100uM,paridad,673,0.00191785,0.0111224,0.00171875,0.00515248,0.435564,False,0.771229,False
K28C,1mM,orden,1374,0.00372039,0.00746273,0.00212326,0.00288809,0.250749,False,0.501499,False
K28C,1mM,paridad,1374,0.00372039,0.00868812,0.00320128,0.00299281,0.385614,False,0.771229,False
T324C,10uM,orden,5264,0.00148145,0.00673606,0.00422351,0.00144229,0.986014,False,0.986014,False
T324C,10uM,paridad,5264,0.00148145,0.00547715,0.00330906,0.00124162,0.946054,False,0.946054,False
T324C,1mM,orden,4658,0.0136876,0.00308441,0.00125385,0.00104765,0.000999001,True,0.001998,True
T324C,1mM,paridad,4658,0.0136876,0.00296304,0.00118367,0.000984714,0.000999001,True,0.001998,True
